,naive_TH,CD137pos_CD154neg_naive_TH,CD137neg_CD154pos_naive_TH,CD137pos_CD154pos_naive_TH,memory_TH,CD137pos_CD154neg_memory_TH,CD137neg_CD154pos_memory_TH,CD137pos_CD154pos_memory_TH,naive_TFH,CD137pos_CD154neg_naive_TFH,CD137neg_CD154pos_naive_TFH,CD137pos_CD154pos_naive_TFH,memory_TFH,CD137pos_CD154neg_memory_TFH,CD137neg_CD154pos_memory_TFH,CD137pos_CD154pos_memory_TFH,CD45RApos_Treg,CD137pos_CD154neg_CD45RApos_Treg,CD137neg_CD154pos_CD45RApos_Treg,CD137pos_CD154pos_CD45RApos_Treg,CD45RAneg_Treg,CD137pos_CD154neg_CD45RAneg_Treg,CD137neg_CD154pos_CD45RAneg_Treg,CD137pos_CD154pos_CD45RAneg_Treg,CD45RApos_TFR,CD137pos_CD154neg_CD45RApos_TFR,CD137neg_CD154pos_CD45RApos_TFR,CD137pos_CD154pos_CD45RApos_TFR,CD45RAneg_TFR,CD137pos_CD154neg_CD45RAneg_TFR,CD137neg_CD154pos_CD45RAneg_TFR,CD137pos_CD154pos_CD45RAneg_TFR
H24_NC_Time_Point_0_CD4 T cells.fcs,204485,101,100,0,101213,50,50,1,10257,6,4,0,23136,11,11,1,7838,5,4,0,7911,4,4,0,724,0,0,0,249,0,0,0
H24_PC_Time_Point_0_CD4 T cells.fcs,97651,121,88980,1632,35624,118,29629,1277,4032,10,3731,67,9582,27,8572,475,5402,23,4462,15,4593,158,2695,12,617,1,483,0,637,1,474,0
H24_HBsAg_Time_Point_0_CD4 T cells.fcs,208907,87,92,3,98561,49,62,1,9758,4,3,0,23406,11,6,2,7773,7,0,0,8031,4,5,0,785,2,0,0,272,1,2,1
H25_NC_Time_Point_0_CD4 T cells.fcs,155670,78,76,0,51813,25,27,0,2500,1,1,0,9185,3,4,1,10735,6,5,0,7838,3,4,0,372,0,0,0,406,0,0,0
H25_HBsAg_Time_Point_0_CD4 T cells.fcs,218460,274,124,6,70495,40,136,3,3490,0,1,0,12168,9,9,1,15840,46,5,1,10249,7,16,0,639,0,1,1,492,3,5,1
H26_NC_Time_Point_0_CD4 T cells.fcs,240834,107,115,5,188229,90,82,9,10564,5,5,0,26026,12,11,2,8593,4,4,0,25562,13,13,1,1675,1,1,0,812,0,0,0
H26_HBsAg_Time_Point_0_CD4 T cells.fcs,119847,45,70,3,107787,60,36,4,3554,1,0,0,14912,8,17,1,4188,0,0,0,14603,4,6,0,711,3,1,0,573,0,1,0
H28_NC_Time_Point_0_CD4 T cells.fcs,112944,51,51,5,72326,31,33,4,3156,2,1,0,15701,7,7,0,2822,1,1,0,5533,3,3,0,438,0,0,0,502,0,0,0
H28_HBsAg_Time_Point_0_CD4 T cells.fcs,138323,83,46,5,90323,38,35,5,3911,5,3,0,19662,15,15,3,3524,2,4,0,6666,12,5,0,529,1,3,0,581,2,0,0
H29_NC_Time_Point_0_CD4 T cells.fcs,112825,49,50,6,104836,50,46,4,6253,2,3,0,28579,15,13,1,5608,3,3,0,13805,7,6,1,800,0,0,0,498,0,0,0
H29_HBsAg_Time_Point_0_CD4 T cells.fcs,163104,142,95,12,156451,102,181,13,8958,13,5,0,40422,21,41,4,8381,4,56,1,18769,10,13,2,1176,6,9,1,745,0,1,0
H30_NC_Time_Point_0_CD4 T cells.fcs,234644,109,111,10,197922,98,90,5,7907,4,4,0,31537,15,16,0,4982,2,2,0,14648,7,7,0,490,0,0,0,648,0,0,0
H30_HBsAg_Time_Point_0_CD4 T cells.fcs,193713,139,65,2,163365,63,80,4,7629,5,6,0,25620,15,11,0,3949,12,4,0,11522,11,4,0,423,1,2,0,484,0,0,0
H31_NC_Time_Point_0_CD4 T cells.fcs,183072,89,90,2,107218,53,52,3,5162,3,3,0,12693,5,5,1,6180,3,3,0,9161,5,5,0,290,0,0,0,189,0,0,0
H31_PC_Time_Point_0_CD4 T cells.fcs,98557,142,79675,426,52737,347,35939,1375,2601,7,1449,8,8656,81,5673,133,6516,6,3409,2,10514,45,2852,3,508,1,234,0,815,0,283,0
H31_HBsAg_Time_Point_0_CD4 T cells.fcs,174804,116,82,4,101158,32,51,4,4728,3,1,0,11894,8,7,1,5582,9,6,0,7836,2,5,0,285,1,0,0,144,1,1,0
H32_NC_Time_Point_0_CD4 T cells.fcs,41377,21,19,1,186797,90,89,9,3294,2,2,0,44535,19,21,2,1683,1,1,0,7904,4,4,0,406,0,0,0,644,0,0,0
H32_HBsAg_Time_Point_0_CD4 T cells.fcs,46548,76,23,2,208509,148,188,24,3516,2,4,0,50488,37,43,5,2003,12,1,0,8588,27,7,0,440,1,2,0,649,0,0,0
H33_NC_Time_Point_0_CD4 T cells.fcs,218845,100,109,2,177369,71,71,14,12767,5,6,1,48100,18,19,5,10175,5,5,0,22186,11,11,0,1535,1,1,0,2576,1,1,0
H33_HBsAg_Time_Point_0_CD4 T cells.fcs,257084,146,138,4,214299,121,132,23,13549,8,9,0,56730,29,18,3,11570,4,6,1,26012,5,30,0,1568,5,1,0,2794,6,6,1
H34_NC_Time_Point_0_CD4 T cells.fcs,193250,92,95,5,34940,16,16,2,7849,4,4,0,3409,2,2,0,9203,4,4,1,5738,3,3,0,462,0,0,0,42,0,0,0
H34_HBsAg_Time_Point_0_CD4 T cells.fcs,373312,283,181,15,69270,41,77,2,16576,27,15,1,6407,4,2,1,17671,11,17,1,10874,3,5,1,1039,5,2,1,87,5,0,1
H35_NC_Time_Point_0_CD4 T cells.fcs,364441,173,172,10,142752,62,67,6,10223,4,4,1,29037,13,13,2,8638,4,3,1,19167,10,10,0,913,0,0,0,754,0,1,0
H35_HBsAg_Time_Point_0_CD4 T cells.fcs,5.03E+05,352,218,18,198939,72,77,4,9878,6,3,0,33807,12,9,3,12401,6,10,1,26706,11,6,2,952,0,0,0,885,0,2,0
H36_NC_Time_Point_0_CD4 T cells.fcs,4.44E+05,211,208,15,92269,42,42,4,9017,4,5,0,13013,4,4,3,21647,10,9,2,13864,5,6,1,438,0,0,0,138,0,0,0
H36_PC_Time_Point_0_CD4 T cells.fcs,219924,680,196137,5881,49206,507,37229,3360,4885,15,4415,159,9461,63,7603,637,25143,62,15222,14,18178,133,6867,0,1699,0,1358,0,2244,0,1408,0
H36_HBsAg_Time_Point_0_CD4 T cells.fcs,4.58E+05,305,201,17,101414,33,49,2,9930,8,11,2,14052,4,2,2,22009,3,15,0,14355,7,10,1,520,2,3,1,176,0,5,1
H38_NC_Time_Point_0_CD4 T cells.fcs,245875,117,115,6,163115,79,79,6,9051,4,5,0,45659,22,21,1,5552,3,2,0,10210,4,4,1,538,0,0,0,527,0,0,0
H38_HBsAg_Time_Point_0_CD4 T cells.fcs,245672,150,113,11,156849,76,132,19,9166,8,13,0,41950,30,29,8,5333,9,6,0,9139,13,12,1,509,8,5,1,479,0,0,0
H39_NC_Time_Point_0_CD4 T cells.fcs,291037,135,135,11,93129,48,45,0,6634,3,3,0,7023,4,4,0,7253,4,4,0,9101,5,5,0,489,0,0,0,152,0,0,0
H39_HBsAg_Time_Point_0_CD4 T cells.fcs,334065,168,157,14,106033,45,52,5,8581,0,6,0,9390,0,2,0,8711,7,3,1,10303,16,6,0,624,3,0,0,188,1,0,0
H40_NC_Time_Point_0_CD4 T cells.fcs,330581,161,163,7,158166,78,76,2,6333,3,3,0,21003,8,10,1,8345,4,4,0,9529,5,5,0,322,0,0,0,355,0,0,0
H40_HBsAg_Time_Point_0_CD4 T cells.fcs,283633,255,142,8,135784,58,96,10,5345,4,2,1,17120,14,13,4,6960,3,4,0,7735,3,1,0,291,2,2,0,258,4,0,0
H41_NC_Time_Point_0_CD4 T cells.fcs,215302,107,101,4,82826,42,39,2,4010,2,2,0,8332,3,3,1,9439,4,5,0,13190,4,5,2,591,0,0,0,289,0,0,0
H41_HBsAg_Time_Point_0_CD4 T cells.fcs,217293,213,86,4,80118,34,74,2,5083,5,1,0,8314,5,12,1,10234,13,11,0,12692,13,21,0,599,6,0,1,314,4,0,0
H42_NC_Time_Point_0_CD4 T cells.fcs,154891,77,72,2,139821,62,65,7,5130,3,3,0,27228,11,11,2,6002,3,2,0,10501,5,5,0,568,0,0,0,394,0,0,0
H42_HBsAg_Time_Point_0_CD4 T cells.fcs,134445,97,49,3,117207,63,79,14,7824,7,7,0,30847,25,11,2,5377,11,2,0,8867,2,7,0,772,0,0,0,583,3,2,0
H02_NC_Time_Point_60_CD4 T cells.fcs,362803,165,179,11,112394,55,55,1,6969,3,4,0,21478,11,11,0,26615,12,16,0,17059,9,8,0,1876,1,1,0,702,0,0,0
H02_HBsAg_Time_Point_60_CD4 T cells.fcs,355233,171,150,11,103765,45,58,11,7280,9,7,0,20148,15,17,1,24426,23,14,2,14470,17,4,0,1882,9,8,0,616,3,2,0
H03_NC_Time_Point_60_CD4 T cells.fcs,200333,98,92,6,99875,53,51,0,7534,2,3,1,18651,7,7,2,11490,5,5,1,17477,7,8,1,1256,1,1,0,608,0,0,0
H03_HBsAg_Time_Point_60_CD4 T cells.fcs,201477,174,85,9,96956,76,92,15,7848,6,6,1,18104,9,16,2,11192,12,8,1,16531,8,34,3,1394,4,11,3,630,4,5,0
H04_NC_Time_Point_60_CD4 T cells.fcs,119504,57,57,0,249598,124,118,9,11123,6,6,0,54836,25,26,3,4912,2,2,0,23249,13,12,0,971,0,0,0,1024,0,0,0
H04_HBsAg_Time_Point_60_CD4 T cells.fcs,127564,119,69,6,261355,194,176,21,14063,10,5,1,58483,28,37,3,5223,0,6,1,23428,27,18,1,1290,0,1,0,1045,2,3,0
H06_NC_Time_Point_60_CD4 T cells.fcs,106254,49,51,4,96260,44,43,3,4440,2,2,0,16260,7,7,1,5190,2,2,1,11697,5,6,0,326,0,0,0,460,0,0,0
H06_HBsAg_Time_Point_60_CD4 T cells.fcs,131993,91,52,7,124098,76,98,12,6464,15,4,0,22155,11,7,4,5902,23,5,1,12499,3,7,0,469,0,1,0,588,0,1,0
H07_NC_Time_Point_60_CD4 T cells.fcs,169039,66,70,16,149615,66,67,7,6793,2,2,1,30263,12,12,3,7796,4,4,0,12382,5,5,1,1263,1,1,0,953,0,0,0
H07_HBsAg_Time_Point_60_CD4 T cells.fcs,241970,181,75,18,228266,87,210,25,11165,7,5,0,47376,23,23,5,11004,5,13,0,17319,25,12,3,1916,13,2,0,1494,2,1,1
H08_NC_Time_Point_60_CD4 T cells.fcs,141812,72,67,3,62204,28,26,5,2804,0,0,1,7799,2,3,1,6430,2,2,1,8509,4,4,0,311,0,0,0,210,0,0,0
H08_HBsAg_Time_Point_60_CD4 T cells.fcs,205627,139,92,11,97537,79,169,14,4122,6,4,0,11953,2,29,0,8893,4,6,0,12717,2,11,0,554,9,6,2,330,1,4,0
H10_NC_Time_Point_60_CD4 T cells.fcs,4.20E+05,189,192,13,88520,35,36,8,7756,3,3,0,14135,6,7,1,14066,5,6,1,14298,7,7,0,640,0,0,0,299,0,0,0
H10_HBsAg_Time_Point_60_CD4 T cells.fcs,4.83E+05,321,255,22,106793,80,165,54,7714,8,11,1,14983,7,11,3,15034,19,16,8,15962,28,41,1,604,4,2,2,281,5,4,2
H11_NC_Time_Point_60_CD4 T cells.fcs,215825,109,107,2,158435,72,80,3,7140,4,4,0,22542,10,10,1,10344,5,5,0,21685,9,9,1,774,0,0,0,564,0,0,0
H11_HBsAg_Time_Point_60_CD4 T cells.fcs,280177,173,102,3,193087,104,166,11,8052,7,5,1,25407,15,21,1,13326,23,9,1,25402,24,18,0,943,3,3,0,727,2,1,0
H13_NC_Time_Point_60_CD4 T cells.fcs,375819,182,185,7,160153,72,73,8,19919,11,10,0,37971,17,17,2,17406,9,9,0,16708,8,8,0,955,0,0,0,626,0,0,0
H13_HBsAg_Time_Point_60_CD4 T cells.fcs,4.29E+05,272,227,22,191868,134,310,55,22388,16,19,1,45095,54,25,7,19248,28,12,4,18816,40,36,1,1195,4,1,0,689,5,6,2
H14_NC_Time_Point_60_CD4 T cells.fcs,269815,122,121,16,45432,22,23,0,4687,2,2,0,6279,3,3,0,8334,3,3,1,10201,5,5,0,276,0,0,0,99,0,0,0
H14_HBsAg_Time_Point_60_CD4 T cells.fcs,262189,196,114,14,45081,18,44,4,4834,7,1,0,5670,2,3,0,8343,13,14,3,9649,7,4,3,260,1,12,1,91,0,0,0
H17_NC_Time_Point_60_CD4 T cells.fcs,365609,185,180,6,112422,48,47,11,7588,3,4,0,13442,6,5,1,24265,13,13,0,13421,7,8,0,978,0,0,0,349,0,0,0
H17_HBsAg_Time_Point_60_CD4 T cells.fcs,397614,250,224,30,125029,89,116,31,7674,8,13,3,14952,15,19,5,26689,28,15,3,14079,61,29,17,1031,0,8,0,310,0,3,1
H18_NC_Time_Point_60_CD4 T cells.fcs,216701,106,106,2,74799,36,36,1,4153,2,2,0,9265,4,5,0,6000,3,3,0,10095,4,5,0,358,0,0,0,251,0,0,0
H18_HBsAg_Time_Point_60_CD4 T cells.fcs,258486,168,114,5,84882,68,127,8,5617,6,4,1,11141,8,8,1,7175,13,12,1,10523,37,28,2,506,0,3,0,314,0,0,0
H19_NC_Time_Point_60_CD4 T cells.fcs,180428,87,84,7,163285,71,71,10,5805,3,3,0,21780,11,11,0,14052,5,6,1,21452,11,10,1,975,0,0,0,948,0,0,0
H19_HBsAg_Time_Point_60_CD4 T cells.fcs,253353,182,66,2,237044,130,176,17,7030,15,2,1,31072,6,21,5,18406,31,10,1,28914,61,27,5,1073,0,3,0,973,0,3,0
H20_NC_Time_Point_60_CD4 T cells.fcs,280840,121,118,24,102256,52,49,2,7588,2,2,2,16608,8,9,0,11467,4,5,1,10559,5,5,0,944,0,0,0,641,0,0,0
H20_HBsAg_Time_Point_60_CD4 T cells.fcs,330682,187,126,28,129941,71,191,20,7993,7,8,2,19172,12,33,11,12686,19,15,0,11739,53,20,2,882,1,4,1,520,0,2,0
H21_NC_Time_Point_60_CD4 T cells.fcs,218866,107,103,6,151945,77,75,3,6090,3,3,0,15889,6,8,0,7020,2,2,1,8946,4,4,0,305,0,0,0,192,0,0,0
H21_HBsAg_Time_Point_60_CD4 T cells.fcs,281850,199,110,10,194963,141,127,10,7177,7,3,0,19717,13,18,1,8417,13,5,1,10423,11,11,1,389,8,1,0,203,1,2,0
H22_NC_Time_Point_60_CD4 T cells.fcs,133256,64,61,5,21112,11,10,0,735,1,1,0,1595,1,1,0,3311,2,2,0,2070,1,1,0,28,0,0,0,31,0,0,0
H22_HBsAg_Time_Point_60_CD4 T cells.fcs,367600,240,195,24,65889,18,93,3,2488,2,3,0,5599,22,15,2,8247,27,21,2,5496,2,18,0,106,1,12,3,82,4,5,3
H23_NC_Time_Point_60_CD4 T cells.fcs,4.63E+05,202,192,29,175097,77,80,9,10540,4,4,1,38527,18,18,1,22105,11,9,1,21347,9,10,1,2172,1,2,0,1132,1,1,0
H23_PC_Time_Point_60_CD4 T cells.fcs,149747,384,139679,1659,50640,342,35338,363,4000,19,3592,33,13994,60,11780,100,15841,12,11547,1,9326,67,2557,0,2038,1,1070,0,1905,0,955,0
H23_HBsAg_Time_Point_60_CD4 T cells.fcs,4.60E+05,298,208,33,175861,83,160,44,10915,9,10,4,37762,24,45,11,22499,31,22,2,20218,32,36,0,2202,7,3,1,1023,5,2,0
H24_NC_Time_Point_60_CD4 T cells.fcs,186924,89,92,0,144266,71,71,3,11769,6,5,1,33913,15,14,3,5184,2,2,0,8711,5,5,0,657,0,0,0,331,0,0,0
H24_HBsAg_Time_Point_60_CD4 T cells.fcs,220745,296,140,3,174458,80,197,19,12378,24,10,0,35806,18,37,3,6302,23,2,1,10311,7,14,1,721,1,1,0,304,0,1,0
H25_NC_Time_Point_60_CD4 T cells.fcs,287668,141,133,5,80547,39,41,1,5136,2,2,1,14355,5,5,2,16453,7,6,2,10247,5,5,0,652,0,0,0,554,0,0,0
H25_HBsAg_Time_Point_60_CD4 T cells.fcs,247801,221,122,2,73278,39,95,1,4822,4,1,1,12976,8,12,1,13823,14,8,0,8324,4,4,1,719,5,0,0,413,3,2,0
H26_NC_Time_Point_60_CD4 T cells.fcs,234790,101,110,13,212810,89,95,11,10627,4,4,1,30069,15,15,0,7076,4,4,0,21469,11,11,0,1605,1,1,0,1053,1,0,0
H26_HBsAg_Time_Point_60_CD4 T cells.fcs,227854,146,146,14,210172,98,107,11,11279,12,17,2,29112,13,18,2,7530,6,5,0,20776,19,12,0,1577,1,1,0,1129,8,6,0
H28_NC_Time_Point_60_CD4 T cells.fcs,102689,49,49,3,60800,29,28,2,2938,1,1,0,14274,5,5,2,2012,1,1,0,4924,2,2,0,309,0,0,0,324,0,0,0
H28_HBsAg_Time_Point_60_CD4 T cells.fcs,153375,143,64,8,94248,157,218,51,4101,6,9,3,22302,30,21,7,3116,26,8,3,7025,28,130,4,447,17,2,4,675,6,14,0
H29_NC_Time_Point_60_CD4 T cells.fcs,117473,51,52,8,123183,54,55,5,5613,3,3,0,29864,13,13,2,5819,3,3,0,18254,8,8,1,612,0,0,0,522,0,0,0
H29_HBsAg_Time_Point_60_CD4 T cells.fcs,109813,96,48,9,115812,83,166,18,6049,8,3,1,27458,17,22,3,5877,21,6,2,15720,14,13,2,621,2,1,1,453,0,1,0
H30_NC_Time_Point_60_CD4 T cells.fcs,259615,113,116,13,225077,101,104,11,9494,3,3,2,37395,15,16,3,6483,3,3,0,20331,10,8,2,598,0,0,0,939,0,0,0
H30_HBsAg_Time_Point_60_CD4 T cells.fcs,190879,186,103,18,173256,107,210,23,5961,4,4,3,20719,15,30,10,1189,0,2,0,3440,0,2,2,89,0,0,0,61,0,0,0
H31_NC_Time_Point_60_CD4 T cells.fcs,261282,125,123,7,158804,72,67,11,6867,3,3,0,22755,9,10,1,9759,5,5,0,12586,7,6,0,370,0,0,0,235,0,0,0
H31_HBsAg_Time_Point_60_CD4 T cells.fcs,234503,186,81,18,145645,194,186,43,5992,9,3,2,20477,23,8,5,8667,18,20,12,10602,31,81,26,275,0,2,1,211,8,0,6
H32_NC_Time_Point_60_CD4 T cells.fcs,79956,38,36,4,319983,127,122,34,5852,2,2,1,88432,38,36,8,4130,2,2,0,17738,9,8,0,850,0,0,0,1417,1,1,0
H32_HBsAg_Time_Point_60_CD4 T cells.fcs,69691,78,51,8,279166,608,276,114,6100,3,1,0,72889,150,44,24,4020,1,6,0,16038,32,118,4,851,2,0,0,1378,5,5,0
H33_NC_Time_Point_60_CD4 T cells.fcs,225957,110,109,6,154916,71,75,5,12048,7,6,0,35289,16,16,2,8528,4,5,0,17086,10,8,0,732,0,0,0,1353,1,1,0
